
 jobname = Hartree_V // full set of hyperons                 
 M= 1.5000 M_sol,   R= 13.9558 km

  radial distance  |     m(r)       |  energy density  | number density
      (meter)          (M_sol)            (MeV/fm^3)       (1/fm^3)
   0.4376642E+04     0.1191630E+00     0.3544327E+03     0.3505571E+00
   0.4388408E+04     0.1200644E+00     0.3541323E+03     0.3502680E+00
   0.4400173E+04     0.1209698E+00     0.3538314E+03     0.3499787E+00
   0.4411938E+04     0.1218794E+00     0.3535303E+03     0.3496891E+00
   0.4423703E+04     0.1227930E+00     0.3532288E+03     0.3493992E+00
   0.4435469E+04     0.1237107E+00     0.3529269E+03     0.3491091E+00
   0.4447234E+04     0.1246325E+00     0.3526248E+03     0.3488187E+00
   0.4458999E+04     0.1255584E+00     0.3523222E+03     0.3485280E+00
   0.4470764E+04     0.1264884E+00     0.3520194E+03     0.3482371E+00
   0.4482529E+04     0.1274225E+00     0.3517162E+03     0.3479460E+00
   0.4494295E+04     0.1283608E+00     0.3514127E+03     0.3476546E+00
   0.4506060E+04     0.1293031E+00     0.3511089E+03     0.3473631E+00
   0.4517825E+04     0.1302495E+00     0.3508048E+03     0.3470713E+00
   0.4529590E+04     0.1312001E+00     0.3505004E+03     0.3467793E+00
   0.4541355E+04     0.1321548E+00     0.3501956E+03     0.3464871E+00
   0.4553120E+04     0.1331136E+00     0.3498907E+03     0.3461947E+00
   0.4564885E+04     0.1340765E+00     0.3495853E+03     0.3459021E+00
   0.4576650E+04     0.1350436E+00     0.3492797E+03     0.3456093E+00
   0.4588416E+04     0.1360148E+00     0.3489738E+03     0.3453163E+00
   0.4600181E+04     0.1369902E+00     0.3486677E+03     0.3450232E+00
   0.4611946E+04     0.1379696E+00     0.3483613E+03     0.3447299E+00
   0.4623711E+04     0.1389533E+00     0.3480546E+03     0.3444364E+00
   0.4635477E+04     0.1399411E+00     0.3477477E+03     0.3441428E+00
   0.4647242E+04     0.1409330E+00     0.3474405E+03     0.3438490E+00
   0.4659007E+04     0.1419291E+00     0.3471330E+03     0.3435551E+00
   0.4670772E+04     0.1429293E+00     0.3468253E+03     0.3432611E+00
   0.4682537E+04     0.1439337E+00     0.3465174E+03     0.3429669E+00
   0.4694302E+04     0.1449423E+00     0.3462092E+03     0.3426726E+00
   0.4706068E+04     0.1459550E+00     0.3459008E+03     0.3423783E+00
   0.4717832E+04     0.1469719E+00     0.3455922E+03     0.3420838E+00
   0.4729598E+04     0.1479930E+00     0.3452834E+03     0.3417892E+00
   0.4741363E+04     0.1490183E+00     0.3449743E+03     0.3414945E+00
   0.4753128E+04     0.1500477E+00     0.3446651E+03     0.3411997E+00
   0.4764893E+04     0.1510813E+00     0.3443556E+03     0.3409049E+00
   0.4776658E+04     0.1521191E+00     0.3440459E+03     0.3406100E+00
   0.4788424E+04     0.1531611E+00     0.3437361E+03     0.3403150E+00
   0.4800189E+04     0.1542073E+00     0.3434261E+03     0.3400199E+00
   0.4811954E+04     0.1552576E+00     0.3431158E+03     0.3397248E+00
   0.4823719E+04     0.1563122E+00     0.3428055E+03     0.3394297E+00
   0.4835485E+04     0.1573710E+00     0.3424949E+03     0.3391345E+00
   0.4847249E+04     0.1584340E+00     0.3421841E+03     0.3388393E+00
   0.4859015E+04     0.1595011E+00     0.3418732E+03     0.3385441E+00
   0.4870779E+04     0.1605725E+00     0.3415622E+03     0.3382488E+00
   0.4882545E+04     0.1616481E+00     0.3412510E+03     0.3379536E+00
   0.4894310E+04     0.1627279E+00     0.3409397E+03     0.3376583E+00
   0.4906075E+04     0.1638119E+00     0.3406281E+03     0.3373630E+00
   0.4917840E+04     0.1649001E+00     0.3403165E+03     0.3370678E+00
   0.4929605E+04     0.1659926E+00     0.3400048E+03     0.3367726E+00
   0.4941371E+04     0.1670893E+00     0.3396929E+03     0.3364773E+00
   0.4953136E+04     0.1681902E+00     0.3393809E+03     0.3361822E+00
   0.4964901E+04     0.1692953E+00     0.3390688E+03     0.3358871E+00
   0.4976666E+04     0.1704046E+00     0.3387566E+03     0.3355919E+00
   0.4988432E+04     0.1715182E+00     0.3384443E+03     0.3352969E+00
   0.5000197E+04     0.1726360E+00     0.3381319E+03     0.3350019E+00
   0.5011962E+04     0.1737580E+00     0.3378193E+03     0.3347070E+00
   0.5023727E+04     0.1748843E+00     0.3375067E+03     0.3344122E+00
   0.5035492E+04     0.1760148E+00     0.3371941E+03     0.3341174E+00
   0.5047257E+04     0.1771496E+00     0.3368813E+03     0.3338228E+00
   0.5059022E+04     0.1782886E+00     0.3365685E+03     0.3335282E+00
   0.5070788E+04     0.1794319E+00     0.3362556E+03     0.3332337E+00
   0.5082552E+04     0.1805793E+00     0.3359426E+03     0.3329394E+00
   0.5094318E+04     0.1817311E+00     0.3356296E+03     0.3326451E+00
   0.5106083E+04     0.1828871E+00     0.3353166E+03     0.3323510E+00
   0.5117848E+04     0.1840474E+00     0.3350034E+03     0.3320570E+00
   0.5129613E+04     0.1852119E+00     0.3346903E+03     0.3317631E+00
   0.5141379E+04     0.1863807E+00     0.3343771E+03     0.3314694E+00
   0.5153144E+04     0.1875538E+00     0.3340639E+03     0.3311758E+00
   0.5164909E+04     0.1887311E+00     0.3337507E+03     0.3308824E+00
   0.5176674E+04     0.1899127E+00     0.3334374E+03     0.3305892E+00
   0.5188439E+04     0.1910986E+00     0.3331241E+03     0.3302961E+00
   0.5200205E+04     0.1922887E+00     0.3328109E+03     0.3300032E+00
   0.5211969E+04     0.1934830E+00     0.3324977E+03     0.3297106E+00
   0.5223735E+04     0.1946817E+00     0.3321844E+03     0.3294181E+00
   0.5235500E+04     0.1958847E+00     0.3318711E+03     0.3291257E+00
   0.5247265E+04     0.1970919E+00     0.3315579E+03     0.3288337E+00
   0.5259030E+04     0.1983034E+00     0.3312447E+03     0.3285418E+00
   0.5270795E+04     0.1995192E+00     0.3309315E+03     0.3282501E+00
   0.5282560E+04     0.2007393E+00     0.3306183E+03     0.3279587E+00
   0.5294326E+04     0.2019636E+00     0.3303052E+03     0.3276675E+00
   0.5306091E+04     0.2031923E+00     0.3299921E+03     0.3273766E+00
   0.5317856E+04     0.2044252E+00     0.3296790E+03     0.3270859E+00
   0.5329621E+04     0.2056625E+00     0.3293661E+03     0.3267955E+00
   0.5341387E+04     0.2069040E+00     0.3290531E+03     0.3265053E+00
   0.5353152E+04     0.2081498E+00     0.3287403E+03     0.3262154E+00
   0.5364917E+04     0.2094000E+00     0.3284274E+03     0.3259258E+00
   0.5376682E+04     0.2106544E+00     0.3281147E+03     0.3256365E+00
   0.5388447E+04     0.2119131E+00     0.3278021E+03     0.3253474E+00
   0.5400212E+04     0.2131762E+00     0.3274895E+03     0.3250587E+00
   0.5411977E+04     0.2144435E+00     0.3271770E+03     0.3247703E+00
   0.5423742E+04     0.2157151E+00     0.3268647E+03     0.3244822E+00
   0.5435508E+04     0.2169911E+00     0.3265523E+03     0.3241944E+00
   0.5447273E+04     0.2182714E+00     0.3262402E+03     0.3239070E+00
   0.5459038E+04     0.2195560E+00     0.3259281E+03     0.3236199E+00
   0.5470803E+04     0.2208448E+00     0.3256161E+03     0.3233331E+00
   0.5482568E+04     0.2221380E+00     0.3253043E+03     0.3230467E+00
   0.5494334E+04     0.2234356E+00     0.3249926E+03     0.3227607E+00
   0.5506099E+04     0.2247375E+00     0.3246810E+03     0.3224750E+00
   0.5517864E+04     0.2260436E+00     0.3243696E+03     0.3221897E+00
   0.5529629E+04     0.2273541E+00     0.3240583E+03     0.3219047E+00
   0.5541395E+04     0.2286690E+00     0.3237471E+03     0.3216202E+00
   0.5553159E+04     0.2299881E+00     0.3234362E+03     0.3213360E+00
   0.5564925E+04     0.2313116E+00     0.3231253E+03     0.3210523E+00
   0.5576690E+04     0.2326394E+00     0.3228146E+03     0.3207690E+00
   0.5588455E+04     0.2339716E+00     0.3225041E+03     0.3204860E+00
   0.5600220E+04     0.2353081E+00     0.3221938E+03     0.3202036E+00
   0.5611985E+04     0.2366489E+00     0.3218836E+03     0.3199215E+00
   0.5623750E+04     0.2379940E+00     0.3215737E+03     0.3196399E+00
   0.5635516E+04     0.2393435E+00     0.3212638E+03     0.3193586E+00
   0.5647281E+04     0.2406974E+00     0.3209543E+03     0.3190778E+00
   0.5659046E+04     0.2420556E+00     0.3206447E+03     0.3187974E+00
   0.5670811E+04     0.2434181E+00     0.3203355E+03     0.3185175E+00
   0.5682576E+04     0.2447850E+00     0.3200263E+03     0.3182379E+00
   0.5694342E+04     0.2461562E+00     0.3197173E+03     0.3179587E+00
   0.5706106E+04     0.2475318E+00     0.3194084E+03     0.3176798E+00
   0.5717872E+04     0.2489117E+00     0.3190997E+03     0.3174013E+00
   0.5729637E+04     0.2502959E+00     0.3187911E+03     0.3171231E+00
   0.5741402E+04     0.2516845E+00     0.3184825E+03     0.3168453E+00
   0.5753167E+04     0.2530775E+00     0.3181742E+03     0.3165678E+00
   0.5764933E+04     0.2544748E+00     0.3178659E+03     0.3162907E+00
   0.5776697E+04     0.2558765E+00     0.3175577E+03     0.3160138E+00
   0.5788463E+04     0.2572826E+00     0.3172496E+03     0.3157372E+00
   0.5800228E+04     0.2586930E+00     0.3169417E+03     0.3154610E+00
   0.5811993E+04     0.2601077E+00     0.3166337E+03     0.3151850E+00
   0.5823758E+04     0.2615269E+00     0.3163258E+03     0.3149092E+00
   0.5835523E+04     0.2629503E+00     0.3160180E+03     0.3146338E+00
   0.5847289E+04     0.2643782E+00     0.3157103E+03     0.3143585E+00
   0.5859054E+04     0.2658104E+00     0.3154026E+03     0.3140836E+00
   0.5870819E+04     0.2672469E+00     0.3150950E+03     0.3138088E+00
   0.5882584E+04     0.2686878E+00     0.3147874E+03     0.3135343E+00
   0.5894349E+04     0.2701331E+00     0.3144799E+03     0.3132599E+00
   0.5906115E+04     0.2715828E+00     0.3141723E+03     0.3129858E+00
   0.5917880E+04     0.2730367E+00     0.3138648E+03     0.3127118E+00
   0.5929645E+04     0.2744951E+00     0.3135573E+03     0.3124381E+00
   0.5941410E+04     0.2759579E+00     0.3132497E+03     0.3121644E+00
   0.5953175E+04     0.2774250E+00     0.3129423E+03     0.3118910E+00
   0.5964940E+04     0.2788965E+00     0.3126347E+03     0.3116176E+00
   0.5976706E+04     0.2803723E+00     0.3123272E+03     0.3113444E+00
   0.5988471E+04     0.2818525E+00     0.3120197E+03     0.3110714E+00
   0.6000236E+04     0.2833371E+00     0.3117121E+03     0.3107985E+00
   0.6012001E+04     0.2848260E+00     0.3114044E+03     0.3105256E+00
   0.6023766E+04     0.2863193E+00     0.3110968E+03     0.3102528E+00
   0.6035531E+04     0.2878169E+00     0.3107891E+03     0.3099802E+00
   0.6047296E+04     0.2893190E+00     0.3104812E+03     0.3097075E+00
   0.6059062E+04     0.2908254E+00     0.3101734E+03     0.3094350E+00
   0.6070827E+04     0.2923361E+00     0.3098654E+03     0.3091624E+00
   0.6082592E+04     0.2938512E+00     0.3095575E+03     0.3088900E+00
   0.6094357E+04     0.2953707E+00     0.3092494E+03     0.3086175E+00
   0.6106123E+04     0.2968945E+00     0.3089412E+03     0.3083451E+00
   0.6117887E+04     0.2984226E+00     0.3086329E+03     0.3080727E+00
   0.6129653E+04     0.2999552E+00     0.3083245E+03     0.3078002E+00
   0.6141418E+04     0.3014921E+00     0.3080159E+03     0.3075277E+00
   0.6153183E+04     0.3030334E+00     0.3077073E+03     0.3072552E+00
   0.6164948E+04     0.3045790E+00     0.3073986E+03     0.3069827E+00
   0.6176713E+04     0.3061289E+00     0.3070897E+03     0.3067101E+00
   0.6188479E+04     0.3076832E+00     0.3067806E+03     0.3064374E+00
   0.6200244E+04     0.3092419E+00     0.3064714E+03     0.3061647E+00
   0.6212009E+04     0.3108049E+00     0.3061620E+03     0.3058919E+00
   0.6223774E+04     0.3123722E+00     0.3058525E+03     0.3056189E+00
   0.6235539E+04     0.3139439E+00     0.3055427E+03     0.3053459E+00
   0.6247305E+04     0.3155200E+00     0.3052328E+03     0.3050727E+00
   0.6259070E+04     0.3171004E+00     0.3049228E+03     0.3047995E+00
   0.6270835E+04     0.3186851E+00     0.3046125E+03     0.3045260E+00
   0.6282600E+04     0.3202742E+00     0.3043020E+03     0.3042524E+00
   0.6294366E+04     0.3218676E+00     0.3039912E+03     0.3039787E+00
   0.6306130E+04     0.3234653E+00     0.3036804E+03     0.3037048E+00
   0.6317896E+04     0.3250674E+00     0.3033692E+03     0.3034307E+00
   0.6329660E+04     0.3266738E+00     0.3030579E+03     0.3031564E+00
   0.6341426E+04     0.3282846E+00     0.3027462E+03     0.3028818E+00
   0.6353191E+04     0.3298996E+00     0.3024343E+03     0.3026070E+00
   0.6364956E+04     0.3315189E+00     0.3021222E+03     0.3023321E+00
   0.6376721E+04     0.3331426E+00     0.3018098E+03     0.3020568E+00
   0.6388486E+04     0.3347707E+00     0.3014971E+03     0.3017814E+00
   0.6400252E+04     0.3364030E+00     0.3011842E+03     0.3015056E+00
   0.6412017E+04     0.3380396E+00     0.3008709E+03     0.3012296E+00
   0.6423782E+04     0.3396806E+00     0.3005574E+03     0.3009532E+00
   0.6435547E+04     0.3413258E+00     0.3002436E+03     0.3006766E+00
   0.6447313E+04     0.3429754E+00     0.2999294E+03     0.3003997E+00
   0.6459077E+04     0.3446292E+00     0.2996150E+03     0.3001224E+00
   0.6470843E+04     0.3462873E+00     0.2993003E+03     0.2998448E+00
   0.6482607E+04     0.3479497E+00     0.2989851E+03     0.2995669E+00
   0.6494373E+04     0.3496165E+00     0.2986696E+03     0.2992885E+00
   0.6506138E+04     0.3512875E+00     0.2983538E+03     0.2990098E+00
   0.6517903E+04     0.3529628E+00     0.2980377E+03     0.2987308E+00
   0.6529668E+04     0.3546423E+00     0.2977212E+03     0.2984513E+00
   0.6541434E+04     0.3563262E+00     0.2974044E+03     0.2981715E+00
   0.6553199E+04     0.3580143E+00     0.2970871E+03     0.2978912E+00
   0.6564964E+04     0.3597066E+00     0.2967696E+03     0.2976106E+00
   0.6576729E+04     0.3614032E+00     0.2964515E+03     0.2973294E+00
   0.6588495E+04     0.3631042E+00     0.2961331E+03     0.2970478E+00
   0.6600260E+04     0.3648092E+00     0.2958143E+03     0.2967657E+00
   0.6612025E+04     0.3665186E+00     0.2954950E+03     0.2964832E+00
   0.6623790E+04     0.3682322E+00     0.2951753E+03     0.2962001E+00
   0.6635555E+04     0.3699501E+00     0.2948552E+03     0.2959165E+00
   0.6647320E+04     0.3716722E+00     0.2945347E+03     0.2956325E+00
   0.6659085E+04     0.3733985E+00     0.2942137E+03     0.2953479E+00
   0.6670850E+04     0.3751290E+00     0.2938924E+03     0.2950629E+00
   0.6682616E+04     0.3768637E+00     0.2935705E+03     0.2947773E+00
   0.6694381E+04     0.3786027E+00     0.2932482E+03     0.2944911E+00
   0.6706146E+04     0.3803459E+00     0.2929254E+03     0.2942044E+00
   0.6717911E+04     0.3820932E+00     0.2926022E+03     0.2939171E+00
   0.6729676E+04     0.3838448E+00     0.2922784E+03     0.2936292E+00
   0.6741442E+04     0.3856006E+00     0.2919542E+03     0.2933407E+00
   0.6753207E+04     0.3873605E+00     0.2916294E+03     0.2930515E+00
   0.6764972E+04     0.3891169E+00     0.2887592E+03     0.2908044E+00
   0.6776737E+04     0.3908696E+00     0.2884206E+03     0.2905022E+00
   0.6788503E+04     0.3926264E+00     0.2880819E+03     0.2901998E+00
   0.6800267E+04     0.3943872E+00     0.2877433E+03     0.2898973E+00
   0.6812033E+04     0.3961520E+00     0.2874049E+03     0.2895946E+00
   0.6823797E+04     0.3979209E+00     0.2870665E+03     0.2892917E+00
   0.6835563E+04     0.3996938E+00     0.2867282E+03     0.2889885E+00
   0.6847328E+04     0.4014708E+00     0.2863899E+03     0.2886852E+00
   0.6859093E+04     0.4032517E+00     0.2860517E+03     0.2883817E+00
   0.6870858E+04     0.4050367E+00     0.2857137E+03     0.2880780E+00
   0.6882623E+04     0.4068256E+00     0.2853757E+03     0.2877741E+00
   0.6894389E+04     0.4086187E+00     0.2850378E+03     0.2874700E+00
   0.6906154E+04     0.4104156E+00     0.2847000E+03     0.2871657E+00
   0.6917919E+04     0.4122165E+00     0.2843623E+03     0.2868612E+00
   0.6929684E+04     0.4140215E+00     0.2840247E+03     0.2865565E+00
   0.6941450E+04     0.4158305E+00     0.2836873E+03     0.2862517E+00
   0.6953214E+04     0.4176434E+00     0.2833499E+03     0.2859465E+00
   0.6964980E+04     0.4194603E+00     0.2830126E+03     0.2856412E+00
   0.6976745E+04     0.4212812E+00     0.2826755E+03     0.2853357E+00
   0.6988510E+04     0.4231062E+00     0.2823384E+03     0.2850299E+00
   0.7000275E+04     0.4249350E+00     0.2820015E+03     0.2847239E+00
   0.7012040E+04     0.4267677E+00     0.2816647E+03     0.2844177E+00
   0.7023805E+04     0.4286045E+00     0.2813280E+03     0.2841113E+00
   0.7035570E+04     0.4304453E+00     0.2809915E+03     0.2838047E+00
   0.7047336E+04     0.4322900E+00     0.2806551E+03     0.2834978E+00
   0.7059101E+04     0.4341385E+00     0.2803188E+03     0.2831908E+00
   0.7070866E+04     0.4359911E+00     0.2799826E+03     0.2828835E+00
   0.7082631E+04     0.4378477E+00     0.2796466E+03     0.2825759E+00
   0.7094397E+04     0.4397082E+00     0.2793107E+03     0.2822681E+00
   0.7106162E+04     0.4415726E+00     0.2789750E+03     0.2819601E+00
   0.7117927E+04     0.4434409E+00     0.2786393E+03     0.2816519E+00
   0.7129692E+04     0.4453131E+00     0.2783039E+03     0.2813434E+00
   0.7141457E+04     0.4471894E+00     0.2779686E+03     0.2810347E+00
   0.7153223E+04     0.4490695E+00     0.2776335E+03     0.2807257E+00
   0.7164987E+04     0.4509535E+00     0.2772985E+03     0.2804165E+00
   0.7176753E+04     0.4528415E+00     0.2769637E+03     0.2801071E+00
   0.7188518E+04     0.4547334E+00     0.2766290E+03     0.2797974E+00
   0.7200283E+04     0.4566292E+00     0.2762945E+03     0.2794875E+00
   0.7212048E+04     0.4585289E+00     0.2759601E+03     0.2791772E+00
   0.7223813E+04     0.4604324E+00     0.2756260E+03     0.2788668E+00
   0.7235578E+04     0.4623399E+00     0.2752920E+03     0.2785561E+00
   0.7247344E+04     0.4642513E+00     0.2749581E+03     0.2782452E+00
   0.7259109E+04     0.4661666E+00     0.2746245E+03     0.2779340E+00
   0.7270874E+04     0.4680858E+00     0.2742910E+03     0.2776225E+00
   0.7282639E+04     0.4700088E+00     0.2739577E+03     0.2773107E+00
   0.7294404E+04     0.4719358E+00     0.2736246E+03     0.2769987E+00
   0.7306170E+04     0.4738666E+00     0.2732917E+03     0.2766865E+00
   0.7317934E+04     0.4758013E+00     0.2729589E+03     0.2763740E+00
   0.7329700E+04     0.4777398E+00     0.2726263E+03     0.2760611E+00
   0.7341465E+04     0.4796823E+00     0.2722940E+03     0.2757481E+00
   0.7353230E+04     0.4816285E+00     0.2719619E+03     0.2754347E+00
   0.7364995E+04     0.4835786E+00     0.2716299E+03     0.2751212E+00
   0.7376760E+04     0.4855326E+00     0.2712981E+03     0.2748072E+00
   0.7388525E+04     0.4874904E+00     0.2709666E+03     0.2744931E+00
   0.7400291E+04     0.4894521E+00     0.2706352E+03     0.2741786E+00
   0.7412056E+04     0.4914176E+00     0.2703040E+03     0.2738639E+00
   0.7423821E+04     0.4933869E+00     0.2699731E+03     0.2735489E+00
   0.7435586E+04     0.4953601E+00     0.2696424E+03     0.2732336E+00
   0.7447352E+04     0.4973372E+00     0.2693119E+03     0.2729180E+00
   0.7459117E+04     0.4993180E+00     0.2689816E+03     0.2726022E+00
   0.7470882E+04     0.5013026E+00     0.2686515E+03     0.2722860E+00
   0.7482647E+04     0.5032911E+00     0.2683217E+03     0.2719696E+00
   0.7494413E+04     0.5052834E+00     0.2679920E+03     0.2716528E+00
   0.7506177E+04     0.5072795E+00     0.2676626E+03     0.2713358E+00
   0.7517943E+04     0.5092794E+00     0.2673334E+03     0.2710184E+00
   0.7529708E+04     0.5112831E+00     0.2670045E+03     0.2707008E+00
   0.7541473E+04     0.5132905E+00     0.2666758E+03     0.2703829E+00
   0.7553238E+04     0.5153018E+00     0.2663473E+03     0.2700647E+00
   0.7565003E+04     0.5173170E+00     0.2660190E+03     0.2697462E+00
   0.7576769E+04     0.5193359E+00     0.2656910E+03     0.2694273E+00
   0.7588534E+04     0.5213585E+00     0.2653633E+03     0.2691082E+00
   0.7600299E+04     0.5233850E+00     0.2650357E+03     0.2687887E+00
   0.7612064E+04     0.5254151E+00     0.2647085E+03     0.2684690E+00
   0.7623829E+04     0.5274491E+00     0.2643815E+03     0.2681489E+00
   0.7635594E+04     0.5294868E+00     0.2640547E+03     0.2678285E+00
   0.7647359E+04     0.5315282E+00     0.2637282E+03     0.2675079E+00
   0.7659124E+04     0.5335735E+00     0.2634019E+03     0.2671868E+00
   0.7670890E+04     0.5356227E+00     0.2630759E+03     0.2668655E+00
   0.7682655E+04     0.5376754E+00     0.2627501E+03     0.2665438E+00
   0.7694420E+04     0.5397319E+00     0.2624247E+03     0.2662219E+00
   0.7706185E+04     0.5417922E+00     0.2620994E+03     0.2658996E+00
   0.7717951E+04     0.5438561E+00     0.2617745E+03     0.2655770E+00
   0.7729715E+04     0.5459238E+00     0.2614498E+03     0.2652541E+00
   0.7741481E+04     0.5479953E+00     0.2611253E+03     0.2649308E+00
   0.7753245E+04     0.5500705E+00     0.2608012E+03     0.2646072E+00
   0.7765012E+04     0.5521495E+00     0.2604773E+03     0.2642833E+00
   0.7776777E+04     0.5542322E+00     0.2601537E+03     0.2639590E+00
   0.7788542E+04     0.5563185E+00     0.2598304E+03     0.2636345E+00
   0.7800307E+04     0.5584086E+00     0.2595074E+03     0.2633096E+00
   0.7812072E+04     0.5605024E+00     0.2591846E+03     0.2629843E+00
   0.7823837E+04     0.5625998E+00     0.2588621E+03     0.2626587E+00
   0.7835602E+04     0.5647010E+00     0.2585399E+03     0.2623328E+00
   0.7847367E+04     0.5668058E+00     0.2582180E+03     0.2620066E+00
   0.7859132E+04     0.5689144E+00     0.2578964E+03     0.2616799E+00
   0.7870898E+04     0.5710267E+00     0.2575750E+03     0.2613530E+00
   0.7882663E+04     0.5731427E+00     0.2572541E+03     0.2610257E+00
   0.7894428E+04     0.5752623E+00     0.2569333E+03     0.2606981E+00
   0.7906193E+04     0.5773855E+00     0.2566129E+03     0.2603701E+00
   0.7917958E+04     0.5795125E+00     0.2562928E+03     0.2600418E+00
   0.7929724E+04     0.5816432E+00     0.2559729E+03     0.2597131E+00
   0.7941488E+04     0.5837774E+00     0.2556534E+03     0.2593841E+00
   0.7953254E+04     0.5859154E+00     0.2553340E+03     0.2590547E+00
   0.7965020E+04     0.5880572E+00     0.2550149E+03     0.2587248E+00
   0.7976784E+04     0.5902024E+00     0.2546960E+03     0.2583946E+00
   0.7988550E+04     0.5923513E+00     0.2543773E+03     0.2580639E+00
   0.8000314E+04     0.5945039E+00     0.2540587E+03     0.2577328E+00
   0.8012080E+04     0.5966601E+00     0.2537403E+03     0.2574012E+00
   0.8023845E+04     0.5988199E+00     0.2534219E+03     0.2570691E+00
   0.8035610E+04     0.6009833E+00     0.2531036E+03     0.2567365E+00
   0.8047375E+04     0.6031504E+00     0.2527853E+03     0.2564033E+00
   0.8059140E+04     0.6053210E+00     0.2524671E+03     0.2560697E+00
   0.8070906E+04     0.6074955E+00     0.2521488E+03     0.2557354E+00
   0.8082671E+04     0.6096734E+00     0.2518305E+03     0.2554006E+00
   0.8094436E+04     0.6118548E+00     0.2515121E+03     0.2550652E+00
   0.8106201E+04     0.6140398E+00     0.2511936E+03     0.2547292E+00
   0.8117966E+04     0.6162283E+00     0.2508751E+03     0.2543925E+00
   0.8129731E+04     0.6184205E+00     0.2505564E+03     0.2540553E+00
   0.8141496E+04     0.6206163E+00     0.2502375E+03     0.2537173E+00
   0.8153261E+04     0.6228155E+00     0.2499184E+03     0.2533787E+00
   0.8165026E+04     0.6250184E+00     0.2495991E+03     0.2530394E+00
   0.8176792E+04     0.6272249E+00     0.2492796E+03     0.2526993E+00
   0.8188557E+04     0.6294348E+00     0.2489598E+03     0.2523586E+00
   0.8200323E+04     0.6316482E+00     0.2486397E+03     0.2520170E+00
   0.8212088E+04     0.6338651E+00     0.2483193E+03     0.2516748E+00
   0.8223853E+04     0.6360855E+00     0.2479986E+03     0.2513317E+00
   0.8235618E+04     0.6383094E+00     0.2476775E+03     0.2509879E+00
   0.8247383E+04     0.6405367E+00     0.2473560E+03     0.2506433E+00
   0.8259148E+04     0.6427675E+00     0.2470341E+03     0.2502978E+00
   0.8270914E+04     0.6450019E+00     0.2467118E+03     0.2499515E+00
   0.8282679E+04     0.6472397E+00     0.2463890E+03     0.2496044E+00
   0.8294444E+04     0.6494808E+00     0.2460658E+03     0.2492564E+00
   0.8306209E+04     0.6517254E+00     0.2457420E+03     0.2489075E+00
   0.8317974E+04     0.6539733E+00     0.2454177E+03     0.2485577E+00
   0.8329739E+04     0.6562247E+00     0.2450929E+03     0.2482070E+00
   0.8341504E+04     0.6584795E+00     0.2447675E+03     0.2478554E+00
   0.8353269E+04     0.6607375E+00     0.2444416E+03     0.2475029E+00
   0.8365034E+04     0.6629990E+00     0.2441149E+03     0.2471494E+00
   0.8376800E+04     0.6652639E+00     0.2437877E+03     0.2467949E+00
   0.8388565E+04     0.6675320E+00     0.2434598E+03     0.2464395E+00
   0.8400331E+04     0.6698034E+00     0.2431312E+03     0.2460830E+00
   0.8412095E+04     0.6720781E+00     0.2428019E+03     0.2457256E+00
   0.8423861E+04     0.6743560E+00     0.2424719E+03     0.2453671E+00
   0.8435625E+04     0.6766372E+00     0.2421412E+03     0.2450076E+00
   0.8447391E+04     0.6789217E+00     0.2418097E+03     0.2446471E+00
   0.8459155E+04     0.6812094E+00     0.2414774E+03     0.2442855E+00
   0.8470921E+04     0.6835005E+00     0.2411443E+03     0.2439228E+00
   0.8482687E+04     0.6857947E+00     0.2408103E+03     0.2435590E+00
   0.8494452E+04     0.6880919E+00     0.2404755E+03     0.2431941E+00
   0.8506217E+04     0.6903924E+00     0.2401399E+03     0.2428282E+00
   0.8517982E+04     0.6926960E+00     0.2398034E+03     0.2424611E+00
   0.8529747E+04     0.6950028E+00     0.2394659E+03     0.2420929E+00
   0.8541512E+04     0.6973126E+00     0.2391276E+03     0.2417235E+00
   0.8553277E+04     0.6996256E+00     0.2387883E+03     0.2413530E+00
   0.8565042E+04     0.7019416E+00     0.2384480E+03     0.2409813E+00
   0.8576808E+04     0.7042608E+00     0.2381067E+03     0.2406085E+00
   0.8588573E+04     0.7065828E+00     0.2377644E+03     0.2402344E+00
   0.8600338E+04     0.7089078E+00     0.2374211E+03     0.2398592E+00
   0.8612103E+04     0.7112361E+00     0.2370768E+03     0.2394827E+00
   0.8623868E+04     0.7135673E+00     0.2367314E+03     0.2391050E+00
   0.8635633E+04     0.7159012E+00     0.2363850E+03     0.2387261E+00
   0.8647398E+04     0.7182381E+00     0.2360374E+03     0.2383459E+00
   0.8659164E+04     0.7205780E+00     0.2356887E+03     0.2379645E+00
   0.8670930E+04     0.7229211E+00     0.2353389E+03     0.2375818E+00
   0.8682694E+04     0.7252668E+00     0.2349880E+03     0.2371979E+00
   0.8694460E+04     0.7276153E+00     0.2346359E+03     0.2368127E+00
   0.8706225E+04     0.7299666E+00     0.2342826E+03     0.2364262E+00
   0.8717990E+04     0.7323208E+00     0.2339281E+03     0.2360384E+00
   0.8729755E+04     0.7346778E+00     0.2335724E+03     0.2356492E+00
   0.8741520E+04     0.7370375E+00     0.2332155E+03     0.2352588E+00
   0.8753285E+04     0.7394000E+00     0.2328574E+03     0.2348671E+00
   0.8765050E+04     0.7417651E+00     0.2324979E+03     0.2344740E+00
   0.8776816E+04     0.7441332E+00     0.2321372E+03     0.2340795E+00
