
 jobname = Hartree_V // full set of hyperons                 
 M= 1.5000 M_sol,   R= 13.9558 km

  radial distance  |     m(r)       |  energy density  | number density
      (meter)          (M_sol)            (MeV/fm^3)       (1/fm^3)
   0.9765090E+03     0.1443838E-02     0.4125867E+03     0.4062282E+00
   0.9882741E+03     0.1496530E-02     0.4125135E+03     0.4061629E+00
   0.1000039E+04     0.1550483E-02     0.4124395E+03     0.4060968E+00
   0.1011804E+04     0.1605711E-02     0.4123645E+03     0.4060299E+00
   0.1023570E+04     0.1662229E-02     0.4122887E+03     0.4059622E+00
   0.1035335E+04     0.1720051E-02     0.4122119E+03     0.4058936E+00
   0.1047100E+04     0.1779192E-02     0.4121343E+03     0.4058243E+00
   0.1058865E+04     0.1839667E-02     0.4120558E+03     0.4057541E+00
   0.1070630E+04     0.1901489E-02     0.4119765E+03     0.4056832E+00
   0.1082395E+04     0.1964674E-02     0.4118962E+03     0.4056114E+00
   0.1094161E+04     0.2029235E-02     0.4118151E+03     0.4055388E+00
   0.1105926E+04     0.2095188E-02     0.4117330E+03     0.4054654E+00
   0.1117691E+04     0.2162546E-02     0.4116501E+03     0.4053912E+00
   0.1129456E+04     0.2231324E-02     0.4115663E+03     0.4053161E+00
   0.1141221E+04     0.2301537E-02     0.4114816E+03     0.4052402E+00
   0.1152987E+04     0.2373198E-02     0.4113960E+03     0.4051635E+00
   0.1164752E+04     0.2446322E-02     0.4113095E+03     0.4050860E+00
   0.1176517E+04     0.2520923E-02     0.4112221E+03     0.4050077E+00
   0.1188282E+04     0.2597016E-02     0.4111339E+03     0.4049285E+00
   0.1200047E+04     0.2674615E-02     0.4110447E+03     0.4048485E+00
   0.1211812E+04     0.2753734E-02     0.4109547E+03     0.4047677E+00
   0.1223578E+04     0.2834387E-02     0.4108637E+03     0.4046861E+00
   0.1235343E+04     0.2916589E-02     0.4107719E+03     0.4046036E+00
   0.1247108E+04     0.3000354E-02     0.4106792E+03     0.4045203E+00
   0.1258873E+04     0.3085696E-02     0.4105856E+03     0.4044363E+00
   0.1270638E+04     0.3172627E-02     0.4104911E+03     0.4043513E+00
   0.1282403E+04     0.3261165E-02     0.4103957E+03     0.4042655E+00
   0.1294168E+04     0.3351322E-02     0.4102994E+03     0.4041789E+00
   0.1305934E+04     0.3443112E-02     0.4102022E+03     0.4040915E+00
   0.1317699E+04     0.3536549E-02     0.4101042E+03     0.4040032E+00
   0.1329464E+04     0.3631647E-02     0.4100052E+03     0.4039142E+00
   0.1341229E+04     0.3728422E-02     0.4099054E+03     0.4038242E+00
   0.1352994E+04     0.3826886E-02     0.4098047E+03     0.4037334E+00
   0.1364759E+04     0.3927053E-02     0.4097030E+03     0.4036418E+00
   0.1376525E+04     0.4028936E-02     0.4096005E+03     0.4035494E+00
   0.1388290E+04     0.4132553E-02     0.4094971E+03     0.4034561E+00
   0.1400055E+04     0.4237914E-02     0.4093928E+03     0.4033620E+00
   0.1411820E+04     0.4345034E-02     0.4092876E+03     0.4032671E+00
   0.1423585E+04     0.4453927E-02     0.4091815E+03     0.4031713E+00
   0.1435351E+04     0.4564608E-02     0.4090745E+03     0.4030746E+00
   0.1447116E+04     0.4677088E-02     0.4089666E+03     0.4029771E+00
   0.1458881E+04     0.4791382E-02     0.4088579E+03     0.4028789E+00
   0.1470646E+04     0.4907506E-02     0.4087482E+03     0.4027797E+00
   0.1482411E+04     0.5025472E-02     0.4086377E+03     0.4026797E+00
   0.1494176E+04     0.5145292E-02     0.4085262E+03     0.4025788E+00
   0.1505942E+04     0.5266981E-02     0.4084139E+03     0.4024771E+00
   0.1517707E+04     0.5390553E-02     0.4083006E+03     0.4023746E+00
   0.1529472E+04     0.5516023E-02     0.4081865E+03     0.4022712E+00
   0.1541237E+04     0.5643403E-02     0.4080715E+03     0.4021669E+00
   0.1553002E+04     0.5772708E-02     0.4079555E+03     0.4020618E+00
   0.1564767E+04     0.5903949E-02     0.4078387E+03     0.4019559E+00
   0.1576533E+04     0.6037141E-02     0.4077210E+03     0.4018491E+00
   0.1588298E+04     0.6172298E-02     0.4076024E+03     0.4017414E+00
   0.1600063E+04     0.6309432E-02     0.4074829E+03     0.4016330E+00
   0.1611828E+04     0.6448558E-02     0.4073625E+03     0.4015236E+00
   0.1623593E+04     0.6589688E-02     0.4072412E+03     0.4014134E+00
   0.1635359E+04     0.6732837E-02     0.4071191E+03     0.4013023E+00
   0.1647124E+04     0.6878018E-02     0.4069960E+03     0.4011904E+00
   0.1658889E+04     0.7025241E-02     0.4068720E+03     0.4010776E+00
   0.1670654E+04     0.7174525E-02     0.4067471E+03     0.4009640E+00
   0.1682419E+04     0.7325880E-02     0.4066214E+03     0.4008495E+00
   0.1694184E+04     0.7479320E-02     0.4064947E+03     0.4007342E+00
   0.1705949E+04     0.7634859E-02     0.4063672E+03     0.4006180E+00
   0.1717715E+04     0.7792508E-02     0.4062387E+03     0.4005009E+00
   0.1729480E+04     0.7952282E-02     0.4061094E+03     0.4003829E+00
   0.1741245E+04     0.8114194E-02     0.4059792E+03     0.4002641E+00
   0.1753010E+04     0.8278255E-02     0.4058480E+03     0.4001445E+00
   0.1764775E+04     0.8444482E-02     0.4057160E+03     0.4000240E+00
   0.1776540E+04     0.8612883E-02     0.4055831E+03     0.3999026E+00
   0.1788306E+04     0.8783476E-02     0.4054493E+03     0.3997804E+00
   0.1800071E+04     0.8956273E-02     0.4053146E+03     0.3996572E+00
   0.1811836E+04     0.9131285E-02     0.4051790E+03     0.3995333E+00
   0.1823601E+04     0.9308529E-02     0.4050425E+03     0.3994084E+00
   0.1835366E+04     0.9488013E-02     0.4049051E+03     0.3992827E+00
   0.1847131E+04     0.9669749E-02     0.4047668E+03     0.3991561E+00
   0.1858897E+04     0.9853754E-02     0.4046277E+03     0.3990287E+00
   0.1870662E+04     0.1004004E-01     0.4044876E+03     0.3989004E+00
   0.1882427E+04     0.1022862E-01     0.4043466E+03     0.3987712E+00
   0.1894192E+04     0.1041951E-01     0.4042048E+03     0.3986411E+00
   0.1905957E+04     0.1061271E-01     0.4040620E+03     0.3985102E+00
   0.1917723E+04     0.1080825E-01     0.4039184E+03     0.3983784E+00
   0.1929488E+04     0.1100612E-01     0.4037739E+03     0.3982457E+00
   0.1941253E+04     0.1120636E-01     0.4036284E+03     0.3981121E+00
   0.1953018E+04     0.1140897E-01     0.4034821E+03     0.3979777E+00
   0.1964783E+04     0.1161395E-01     0.4033349E+03     0.3978424E+00
   0.1976548E+04     0.1182134E-01     0.4031868E+03     0.3977063E+00
   0.1988313E+04     0.1203113E-01     0.4030378E+03     0.3975692E+00
   0.2000079E+04     0.1224334E-01     0.4028879E+03     0.3974313E+00
   0.2011844E+04     0.1245797E-01     0.4027371E+03     0.3972925E+00
   0.2023609E+04     0.1267506E-01     0.4025854E+03     0.3971528E+00
   0.2035374E+04     0.1289460E-01     0.4024329E+03     0.3970123E+00
   0.2047139E+04     0.1311662E-01     0.4022794E+03     0.3968709E+00
   0.2058904E+04     0.1334111E-01     0.4021251E+03     0.3967285E+00
   0.2070670E+04     0.1356810E-01     0.4019699E+03     0.3965854E+00
   0.2082435E+04     0.1379759E-01     0.4018138E+03     0.3964413E+00
   0.2094200E+04     0.1402960E-01     0.4016567E+03     0.3962964E+00
   0.2105965E+04     0.1426414E-01     0.4014988E+03     0.3961506E+00
   0.2117730E+04     0.1450123E-01     0.4013401E+03     0.3960038E+00
   0.2129496E+04     0.1474086E-01     0.4011804E+03     0.3958563E+00
   0.2141261E+04     0.1498307E-01     0.4010198E+03     0.3957078E+00
   0.2153026E+04     0.1522785E-01     0.4008583E+03     0.3955585E+00
   0.2164791E+04     0.1547522E-01     0.4006960E+03     0.3954082E+00
   0.2176556E+04     0.1572520E-01     0.4005328E+03     0.3952571E+00
   0.2188321E+04     0.1597780E-01     0.4003687E+03     0.3951052E+00
   0.2200087E+04     0.1623302E-01     0.4002037E+03     0.3949523E+00
   0.2211852E+04     0.1649087E-01     0.4000378E+03     0.3947985E+00
   0.2223617E+04     0.1675138E-01     0.3998710E+03     0.3946439E+00
   0.2235382E+04     0.1701455E-01     0.3997033E+03     0.3944884E+00
   0.2247147E+04     0.1728040E-01     0.3995348E+03     0.3943320E+00
   0.2258912E+04     0.1754893E-01     0.3993654E+03     0.3941748E+00
   0.2270678E+04     0.1782016E-01     0.3991951E+03     0.3940166E+00
   0.2282443E+04     0.1809409E-01     0.3990239E+03     0.3938575E+00
   0.2294208E+04     0.1837075E-01     0.3988518E+03     0.3936976E+00
   0.2305973E+04     0.1865013E-01     0.3986789E+03     0.3935368E+00
   0.2317738E+04     0.1893226E-01     0.3985050E+03     0.3933751E+00
   0.2329503E+04     0.1921715E-01     0.3983303E+03     0.3932126E+00
   0.2341268E+04     0.1950479E-01     0.3981547E+03     0.3930491E+00
   0.2353034E+04     0.1979523E-01     0.3979782E+03     0.3928847E+00
   0.2364799E+04     0.2008845E-01     0.3978008E+03     0.3927195E+00
   0.2376564E+04     0.2038448E-01     0.3976226E+03     0.3925534E+00
   0.2388329E+04     0.2068330E-01     0.3974435E+03     0.3923864E+00
   0.2400094E+04     0.2098496E-01     0.3972635E+03     0.3922185E+00
   0.2411859E+04     0.2128945E-01     0.3970826E+03     0.3920497E+00
   0.2423625E+04     0.2159679E-01     0.3969009E+03     0.3918801E+00
   0.2435390E+04     0.2190697E-01     0.3967183E+03     0.3917096E+00
   0.2447155E+04     0.2222003E-01     0.3965348E+03     0.3915381E+00
   0.2458920E+04     0.2253597E-01     0.3963504E+03     0.3913659E+00
   0.2470685E+04     0.2285480E-01     0.3961652E+03     0.3911927E+00
   0.2482450E+04     0.2317652E-01     0.3959791E+03     0.3910186E+00
   0.2494216E+04     0.2350117E-01     0.3957921E+03     0.3908437E+00
   0.2505981E+04     0.2382873E-01     0.3956042E+03     0.3906679E+00
   0.2517746E+04     0.2415923E-01     0.3954156E+03     0.3904912E+00
   0.2529511E+04     0.2449267E-01     0.3952259E+03     0.3903136E+00
   0.2541276E+04     0.2482906E-01     0.3950355E+03     0.3901351E+00
   0.2553042E+04     0.2516843E-01     0.3948441E+03     0.3899558E+00
   0.2564807E+04     0.2551076E-01     0.3946519E+03     0.3897755E+00
   0.2576572E+04     0.2585609E-01     0.3944589E+03     0.3895944E+00
   0.2588337E+04     0.2620441E-01     0.3942650E+03     0.3894125E+00
   0.2600102E+04     0.2655575E-01     0.3940702E+03     0.3892296E+00
   0.2611867E+04     0.2691010E-01     0.3938745E+03     0.3890458E+00
   0.2623633E+04     0.2726749E-01     0.3936780E+03     0.3888612E+00
   0.2635398E+04     0.2762791E-01     0.3934807E+03     0.3886757E+00
   0.2647163E+04     0.2799138E-01     0.3932824E+03     0.3884894E+00
   0.2658928E+04     0.2835791E-01     0.3930834E+03     0.3883021E+00
   0.2670693E+04     0.2872752E-01     0.3928834E+03     0.3881140E+00
   0.2682458E+04     0.2910020E-01     0.3926826E+03     0.3879250E+00
   0.2694224E+04     0.2947599E-01     0.3924809E+03     0.3877351E+00
   0.2705989E+04     0.2985486E-01     0.3922784E+03     0.3875444E+00
   0.2717754E+04     0.3023686E-01     0.3920750E+03     0.3873528E+00
   0.2729519E+04     0.3062197E-01     0.3918708E+03     0.3871602E+00
   0.2741284E+04     0.3101021E-01     0.3916658E+03     0.3869669E+00
   0.2753049E+04     0.3140160E-01     0.3914599E+03     0.3867727E+00
   0.2764814E+04     0.3179614E-01     0.3912531E+03     0.3865775E+00
   0.2776580E+04     0.3219384E-01     0.3910455E+03     0.3863816E+00
   0.2788345E+04     0.3259471E-01     0.3908370E+03     0.3861847E+00
   0.2800110E+04     0.3299877E-01     0.3906277E+03     0.3859870E+00
   0.2811875E+04     0.3340602E-01     0.3904175E+03     0.3857884E+00
   0.2823640E+04     0.3381648E-01     0.3902066E+03     0.3855890E+00
   0.2835406E+04     0.3423014E-01     0.3899948E+03     0.3853887E+00
   0.2847171E+04     0.3464702E-01     0.3897821E+03     0.3851875E+00
   0.2858936E+04     0.3506713E-01     0.3895686E+03     0.3849855E+00
   0.2870701E+04     0.3549049E-01     0.3893543E+03     0.3847827E+00
   0.2882466E+04     0.3591708E-01     0.3891391E+03     0.3845789E+00
   0.2894232E+04     0.3634695E-01     0.3889231E+03     0.3843743E+00
   0.2905997E+04     0.3678008E-01     0.3887063E+03     0.3841689E+00
   0.2917762E+04     0.3721648E-01     0.3884886E+03     0.3839626E+00
   0.2929527E+04     0.3765619E-01     0.3882701E+03     0.3837554E+00
   0.2941292E+04     0.3809917E-01     0.3880508E+03     0.3835473E+00
   0.2953057E+04     0.3854548E-01     0.3878306E+03     0.3833384E+00
   0.2964822E+04     0.3899509E-01     0.3876096E+03     0.3831287E+00
   0.2976588E+04     0.3944804E-01     0.3873878E+03     0.3829181E+00
   0.2988353E+04     0.3990430E-01     0.3871651E+03     0.3827066E+00
   0.3000118E+04     0.4036392E-01     0.3869417E+03     0.3824943E+00
   0.3011883E+04     0.4082689E-01     0.3867173E+03     0.3822812E+00
   0.3023648E+04     0.4129322E-01     0.3864922E+03     0.3820672E+00
   0.3035413E+04     0.4176292E-01     0.3862663E+03     0.3818524E+00
   0.3047179E+04     0.4223600E-01     0.3860396E+03     0.3816367E+00
   0.3058944E+04     0.4271246E-01     0.3858120E+03     0.3814201E+00
   0.3070709E+04     0.4319232E-01     0.3855836E+03     0.3812028E+00
   0.3082474E+04     0.4367559E-01     0.3853545E+03     0.3809846E+00
   0.3094239E+04     0.4416227E-01     0.3851245E+03     0.3807656E+00
   0.3106004E+04     0.4465237E-01     0.3848937E+03     0.3805457E+00
   0.3117769E+04     0.4514590E-01     0.3846621E+03     0.3803250E+00
   0.3129535E+04     0.4564288E-01     0.3844297E+03     0.3801035E+00
   0.3141300E+04     0.4614330E-01     0.3841966E+03     0.3798811E+00
   0.3153065E+04     0.4664718E-01     0.3839626E+03     0.3796579E+00
   0.3164830E+04     0.4715452E-01     0.3837277E+03     0.3794339E+00
   0.3176596E+04     0.4766534E-01     0.3834921E+03     0.3792090E+00
   0.3188361E+04     0.4817963E-01     0.3832557E+03     0.3789833E+00
   0.3200126E+04     0.4869742E-01     0.3830185E+03     0.3787568E+00
   0.3211891E+04     0.4921871E-01     0.3827805E+03     0.3785295E+00
   0.3223656E+04     0.4974350E-01     0.3825417E+03     0.3783014E+00
   0.3235421E+04     0.5027181E-01     0.3823022E+03     0.3780724E+00
   0.3247187E+04     0.5080365E-01     0.3820619E+03     0.3778426E+00
   0.3258952E+04     0.5133902E-01     0.3818207E+03     0.3776121E+00
   0.3270717E+04     0.5187792E-01     0.3815788E+03     0.3773806E+00
   0.3282482E+04     0.5242037E-01     0.3813361E+03     0.3771484E+00
   0.3294247E+04     0.5296639E-01     0.3810927E+03     0.3769155E+00
   0.3306012E+04     0.5351596E-01     0.3808484E+03     0.3766816E+00
   0.3317777E+04     0.5406909E-01     0.3806034E+03     0.3764471E+00
   0.3329543E+04     0.5462582E-01     0.3803576E+03     0.3762116E+00
   0.3341308E+04     0.5518612E-01     0.3801111E+03     0.3759755E+00
   0.3353073E+04     0.5575003E-01     0.3798638E+03     0.3757384E+00
   0.3364838E+04     0.5631752E-01     0.3796157E+03     0.3755006E+00
   0.3376603E+04     0.5688864E-01     0.3793669E+03     0.3752621E+00
   0.3388368E+04     0.5746337E-01     0.3791172E+03     0.3750227E+00
   0.3400134E+04     0.5804172E-01     0.3788669E+03     0.3747825E+00
   0.3411899E+04     0.5862370E-01     0.3786158E+03     0.3745416E+00
   0.3423664E+04     0.5920933E-01     0.3783639E+03     0.3742999E+00
   0.3435429E+04     0.5979859E-01     0.3781113E+03     0.3740574E+00
   0.3447194E+04     0.6039152E-01     0.3778579E+03     0.3738141E+00
   0.3458959E+04     0.6098810E-01     0.3776038E+03     0.3735701E+00
   0.3470725E+04     0.6158836E-01     0.3773489E+03     0.3733252E+00
   0.3482490E+04     0.6219228E-01     0.3770933E+03     0.3730796E+00
   0.3494255E+04     0.6279990E-01     0.3768370E+03     0.3728333E+00
   0.3506020E+04     0.6341120E-01     0.3765799E+03     0.3725861E+00
   0.3517785E+04     0.6402618E-01     0.3763220E+03     0.3723382E+00
   0.3529551E+04     0.6464489E-01     0.3760635E+03     0.3720896E+00
   0.3541316E+04     0.6526729E-01     0.3758042E+03     0.3718401E+00
   0.3553081E+04     0.6589343E-01     0.3755442E+03     0.3715900E+00
   0.3564846E+04     0.6652328E-01     0.3752834E+03     0.3713391E+00
   0.3576611E+04     0.6715687E-01     0.3750219E+03     0.3710874E+00
   0.3588376E+04     0.6779417E-01     0.3747597E+03     0.3708350E+00
   0.3600142E+04     0.6843524E-01     0.3744969E+03     0.3705818E+00
   0.3611907E+04     0.6908006E-01     0.3742332E+03     0.3703279E+00
   0.3623672E+04     0.6972864E-01     0.3739689E+03     0.3700733E+00
   0.3635437E+04     0.7038097E-01     0.3737039E+03     0.3698180E+00
   0.3647202E+04     0.7103708E-01     0.3734380E+03     0.3695619E+00
   0.3658967E+04     0.7169697E-01     0.3731716E+03     0.3693050E+00
   0.3670733E+04     0.7236065E-01     0.3729044E+03     0.3690475E+00
   0.3682498E+04     0.7302810E-01     0.3726366E+03     0.3687893E+00
   0.3694263E+04     0.7369935E-01     0.3723680E+03     0.3685303E+00
   0.3706028E+04     0.7437441E-01     0.3720987E+03     0.3682705E+00
   0.3717793E+04     0.7505327E-01     0.3718288E+03     0.3680101E+00
   0.3729558E+04     0.7573596E-01     0.3715581E+03     0.3677490E+00
   0.3741323E+04     0.7642246E-01     0.3712868E+03     0.3674871E+00
   0.3753089E+04     0.7711063E-01     0.3697213E+03     0.3653220E+00
   0.3764854E+04     0.7780237E-01     0.3694464E+03     0.3650560E+00
   0.3776619E+04     0.7849792E-01     0.3691709E+03     0.3647895E+00
   0.3788384E+04     0.7919732E-01     0.3688948E+03     0.3645223E+00
   0.3800149E+04     0.7990053E-01     0.3686181E+03     0.3642547E+00
   0.3811915E+04     0.8060757E-01     0.3683409E+03     0.3639864E+00
   0.3823680E+04     0.8131847E-01     0.3680631E+03     0.3637176E+00
   0.3835445E+04     0.8203324E-01     0.3677846E+03     0.3634483E+00
   0.3847210E+04     0.8275184E-01     0.3675057E+03     0.3631784E+00
   0.3858975E+04     0.8347429E-01     0.3672261E+03     0.3629080E+00
   0.3870740E+04     0.8420062E-01     0.3669461E+03     0.3626371E+00
   0.3882506E+04     0.8493084E-01     0.3666654E+03     0.3623656E+00
   0.3894271E+04     0.8566490E-01     0.3663842E+03     0.3620936E+00
   0.3906036E+04     0.8640285E-01     0.3661025E+03     0.3618211E+00
   0.3917801E+04     0.8714469E-01     0.3658202E+03     0.3615481E+00
   0.3929566E+04     0.8789041E-01     0.3655373E+03     0.3612745E+00
   0.3941331E+04     0.8864006E-01     0.3652539E+03     0.3610005E+00
   0.3953096E+04     0.8939360E-01     0.3649700E+03     0.3607259E+00
   0.3964862E+04     0.9015104E-01     0.3646856E+03     0.3604509E+00
   0.3976627E+04     0.9091239E-01     0.3644007E+03     0.3601754E+00
   0.3988392E+04     0.9167770E-01     0.3641152E+03     0.3598994E+00
   0.4000157E+04     0.9244690E-01     0.3638292E+03     0.3596229E+00
   0.4011922E+04     0.9322003E-01     0.3635427E+03     0.3593460E+00
   0.4023687E+04     0.9399710E-01     0.3632557E+03     0.3590686E+00
   0.4035453E+04     0.9477814E-01     0.3629682E+03     0.3587907E+00
   0.4047218E+04     0.9556309E-01     0.3626802E+03     0.3585123E+00
   0.4058983E+04     0.9635200E-01     0.3623917E+03     0.3582335E+00
   0.4070748E+04     0.9714485E-01     0.3621027E+03     0.3579543E+00
   0.4082513E+04     0.9794167E-01     0.3618133E+03     0.3576747E+00
   0.4094279E+04     0.9874249E-01     0.3615233E+03     0.3573945E+00
   0.4106044E+04     0.9954724E-01     0.3612329E+03     0.3571140E+00
   0.4117809E+04     0.1003560E+00     0.3609420E+03     0.3568331E+00
   0.4129574E+04     0.1011687E+00     0.3606507E+03     0.3565517E+00
   0.4141339E+04     0.1019854E+00     0.3603589E+03     0.3562700E+00
   0.4153105E+04     0.1028061E+00     0.3600666E+03     0.3559878E+00
   0.4164870E+04     0.1036308E+00     0.3597739E+03     0.3557052E+00
   0.4176635E+04     0.1044594E+00     0.3594807E+03     0.3554222E+00
   0.4188400E+04     0.1052921E+00     0.3591871E+03     0.3551389E+00
   0.4200165E+04     0.1061288E+00     0.3588931E+03     0.3548551E+00
   0.4211930E+04     0.1069695E+00     0.3585986E+03     0.3545710E+00
   0.4223695E+04     0.1078142E+00     0.3583036E+03     0.3542865E+00
   0.4235461E+04     0.1086630E+00     0.3580083E+03     0.3540017E+00
   0.4247226E+04     0.1095157E+00     0.3577125E+03     0.3537164E+00
   0.4258991E+04     0.1103725E+00     0.3574163E+03     0.3534309E+00
   0.4270756E+04     0.1112333E+00     0.3571198E+03     0.3531449E+00
   0.4282521E+04     0.1120982E+00     0.3568228E+03     0.3528587E+00
   0.4294286E+04     0.1129671E+00     0.3565253E+03     0.3525721E+00
   0.4306052E+04     0.1138401E+00     0.3562275E+03     0.3522852E+00
   0.4317817E+04     0.1147171E+00     0.3559294E+03     0.3519979E+00
   0.4329582E+04     0.1155981E+00     0.3556308E+03     0.3517104E+00
   0.4341347E+04     0.1164833E+00     0.3553318E+03     0.3514225E+00
   0.4353112E+04     0.1173724E+00     0.3550325E+03     0.3511343E+00
   0.4364877E+04     0.1182657E+00     0.3547328E+03     0.3508458E+00
